# Cortical regions: LUT Lausanne2008 - Scale 4 - Cammoun et al., JNeurosci 2012
# Subcortical regions: LUT FreeSurferColorLUT.txt,v 1.70.2.7
# Thalamus segmentation: custom LUT - RGb gradient


#No.	Label Name:							R	G	B	A

0	unknown									25	5	25	0
1	right-lateralorbitofrontal_1			35	75	50	0
2	right-lateralorbitofrontal_2			35	72	50	0
3	right-lateralorbitofrontal_3			35	73	50	0
4	right-lateralorbitofrontal_4			35	74	50	0
5	right-lateralorbitofrontal_5			35	76	50	0
6	right-lateralorbitofrontal_6			35	75	41	0
7	right-lateralorbitofrontal_7			35	75	42	0
8	right-parsorbitalis_1					20	100	50	0
9	right-parsorbitalis_2					20	77	50	0
10	right-frontalpole_1						100	0	100	0
11	right-medialorbitofrontal_1				200	35	75	0
12	right-medialorbitofrontal_2				182	35	75	0
13	right-medialorbitofrontal_3				183	35	75	0
14	right-medialorbitofrontal_4				184	35	75	0
15	right-medialorbitofrontal_5				185	35	75	0
16	right-parstriangularis_1				220	60	20	0
17	right-parstriangularis_2				211	60	20	0
18	right-parstriangularis_3				212	60	20	0
19	right-parstriangularis_4				213	60	20	0
20	right-parsopercularis_1					220	180	140	0
21	right-parsopercularis_2					202	180	140	0
22	right-parsopercularis_3					203	180	140	0
23	right-parsopercularis_4					204	180	140	0
24	right-rostralmiddlefrontal_1			75	50	125	0
25	right-rostralmiddlefrontal_2			75	50	122	0
26	right-rostralmiddlefrontal_3			75	50	123	0
27	right-rostralmiddlefrontal_4			75	50	124	0
28	right-rostralmiddlefrontal_5			75	50	126	0
29	right-rostralmiddlefrontal_6			71	50	125	0
30	right-rostralmiddlefrontal_7			72	50	125	0
31	right-rostralmiddlefrontal_8			73	50	125	0
32	right-rostralmiddlefrontal_9			74	50	125	0
33	right-rostralmiddlefrontal_10			76	50	125	0
34	right-rostralmiddlefrontal_11			77	50	125	0
35	right-rostralmiddlefrontal_12			78	50	125	0
36	right-rostralmiddlefrontal_13			79	50	125	0
37	right-superiorfrontal_1					20	220	160	0
38	right-superiorfrontal_2					20	194	160	0
39	right-superiorfrontal_3					20	195	160	0
40	right-superiorfrontal_4					20	196	160	0
41	right-superiorfrontal_5					20	197	160	0
42	right-superiorfrontal_6					20	198	160	0
43	right-superiorfrontal_7					20	199	160	0
44	right-superiorfrontal_8					20	200	160	0
45	right-superiorfrontal_9					20	201	160	0
46	right-superiorfrontal_10				20	202	160	0
47	right-superiorfrontal_11				20	203	160	0
48	right-superiorfrontal_12				20	204	160	0
49	right-superiorfrontal_13				20	205	160	0
50	right-superiorfrontal_14				20	206	160	0
51	right-superiorfrontal_15				20	207	160	0
52	right-superiorfrontal_16				20	208	160	0
53	right-superiorfrontal_17				20	209	160	0
54	right-caudalmiddlefrontal_1				100	25	0	0
55	right-caudalmiddlefrontal_2				82	25	0	0
56	right-caudalmiddlefrontal_3				83	25	0	0
57	right-caudalmiddlefrontal_4				84	25	0	0
58	right-caudalmiddlefrontal_5				85	25	0	0
59	right-precentral_1						60	20	220	0
60	right-precentral_2						60	20	211	0
61	right-precentral_3						60	20	212	0
62	right-precentral_4						60	20	213	0
63	right-precentral_5						60	20	214	0
64	right-precentral_6						60	20	215	0
65	right-precentral_7						60	20	216	0
66	right-precentral_8						60	20	217	0
67	right-precentral_9						60	20	218	0
68	right-precentral_10						60	20	219	0
69	right-precentral_11						36	20	220	0
70	right-precentral_12						37	20	220	0
71	right-precentral_13						38	20	220	0
72	right-precentral_14						39	20	220	0
73	right-precentral_15						40	20	220	0
74	right-precentral_16						41	20	220	0
75	right-paracentral_1						60	220	60	0
76	right-paracentral_2						60	200	60	0
77	right-paracentral_3						60	201	60	0
78	right-paracentral_4						60	202	60	0
79	right-paracentral_5						60	203	60	0
80	right-paracentral_6						60	204	60	0
81	right-rostralanteriorcingulate_1		80	20	140	0
82	right-rostralanteriorcingulate_2		80	20	127	0
83	right-caudalanteriorcingulate_1			125	100	160	0
84	right-caudalanteriorcingulate_2			125	100	142	0
85	right-caudalanteriorcingulate_3			125	100	143	0
86	right-posteriorcingulate_1				220	180	220	0
87	right-posteriorcingulate_2				220	180	202	0
88	right-posteriorcingulate_3				220	180	203	0
89	right-posteriorcingulate_4				220	180	204	0
90	right-isthmuscingulate_1				140	20	140	0
91	right-isthmuscingulate_2				127	20	140	0
92	right-postcentral_1						220	20	20	0
93	right-postcentral_2						219	20	20	0
94	right-postcentral_3						221	20	20	0
95	right-postcentral_4						222	20	20	0
96	right-postcentral_5						223	20	20	0
97	right-postcentral_6						224	20	20	0
98	right-postcentral_7						220	6	20	0
99	right-postcentral_8						220	7	20	0
100	right-postcentral_9						220	8	20	0
101	right-postcentral_10					220	9	20	0
102	right-postcentral_11					220	10	20	0
103	right-postcentral_12					220	11	20	0
104	right-supramarginal_1					80	160	20	0
105	right-supramarginal_2					80	152	20	0
106	right-supramarginal_3					80	153	20	0
107	right-supramarginal_4					80	154	20	0
108	right-supramarginal_5					80	155	20	0
109	right-supramarginal_6					80	156	20	0
