# Cortical regions: LUT Lausanne2008 - Scale 3 - Cammoun et al., JNeurosci 2012
# Subcortical regions: LUT FreeSurferColorLUT.txt,v 1.70.2.7
# Thalamus segmentation: custom LUT - RGb gradient


#No.	Label Name:							R	G	B	A

0	unknown									25	5	25	0
1	right-lateralorbitofrontal_1			35	75	50	0
2	right-lateralorbitofrontal_2			35	72	50	0
3	right-lateralorbitofrontal_3			35	73	50	0
4	right-lateralorbitofrontal_4			35	74	50	0
5	right-parsorbitalis_1					20	100	50	0
6	right-frontalpole_1						100	0	100	0
7	right-medialorbitofrontal_1				200	35	75	0
8	right-medialorbitofrontal_2				182	35	75	0
9	right-medialorbitofrontal_3				183	35	75	0
10	right-parstriangularis_1				220	60	20	0
11	right-parstriangularis_2				211	60	20	0
12	right-parsopercularis_1					220	180	140	0
13	right-parsopercularis_2					202	180	140	0
14	right-rostralmiddlefrontal_1			75	50	125	0
15	right-rostralmiddlefrontal_2			75	50	122	0
16	right-rostralmiddlefrontal_3			75	50	123	0
17	right-rostralmiddlefrontal_4			75	50	124	0
18	right-rostralmiddlefrontal_5			75	50	126	0
19	right-rostralmiddlefrontal_6			71	50	125	0
20	right-superiorfrontal_1					20	220	160	0
21	right-superiorfrontal_2					20	194	160	0
22	right-superiorfrontal_3					20	195	160	0
23	right-superiorfrontal_4					20	196	160	0
24	right-superiorfrontal_5					20	197	160	0
25	right-superiorfrontal_6					20	198	160	0
26	right-superiorfrontal_7					20	199	160	0
27	right-superiorfrontal_8					20	200	160	0
28	right-caudalmiddlefrontal_1				100	25	0	0
29	right-caudalmiddlefrontal_2				82	25	0	0
30	right-caudalmiddlefrontal_3				83	25	0	0
31	right-precentral_1						60	20	220	0
32	right-precentral_2						60	20	211	0
33	right-precentral_3						60	20	212	0
34	right-precentral_4						60	20	213	0
35	right-precentral_5						60	20	214	0
36	right-precentral_6						60	20	215	0
37	right-paracentral_1						60	220	60	0
38	right-paracentral_2						60	200	60	0
39	right-paracentral_3						60	201	60	0
40	right-rostralanteriorcingulate_1		80	20	140	0
41	right-caudalanteriorcingulate_1			125	100	160	0
42	right-posteriorcingulate_1				220	180	220	0
43	right-posteriorcingulate_2				220	180	202	0
44	right-isthmuscingulate_1				140	20	140	0
45	right-postcentral_1						220	20	20	0
46	right-postcentral_2						219	20	20	0
47	right-postcentral_3						221	20	20	0
48	right-postcentral_4						222	20	20	0
49	right-postcentral_5						223	20	20	0
50	right-supramarginal_1					80	160	20	0
51	right-supramarginal_2					80	152	20	0
52	right-supramarginal_3					80	153	20	0
53	right-supramarginal_4					80	154	20	0
54	right-superiorparietal_1				20	180	140	0
55	right-superiorparietal_2				20	162	140	0
56	right-superiorparietal_3				20	163	140	0
57	right-superiorparietal_4				20	164	140	0
58	right-superiorparietal_5				20	165	140	0
59	right-superiorparietal_6				20	166	140	0
60	right-superiorparietal_7				20	167	140	0
61	right-inferiorparietal_1				220	60	220	0
62	right-inferiorparietal_2				212	60	220	0
63	right-inferiorparietal_3				213	60	220	0
64	right-inferiorparietal_4				214	60	220	0
65	right-inferiorparietal_5				215	60	220	0
66	right-inferiorparietal_6				216	60	220	0
67	right-precuneus_1						160	140	180	0
68	right-precuneus_2						160	140	162	0
69	right-precuneus_3						160	140	163	0
70	right-precuneus_4						160	140	164	0
71	right-precuneus_5						160	140	165	0
72	right-cuneus_1							220	20	100	0
73	right-cuneus_2							202	20	100	0
74	right-pericalcarine_1					120	100	60	0
75	right-pericalcarine_2					102	100	60	0
76	right-lateraloccipital_1				20	30	140	0
77	right-lateraloccipital_2				20	30	127	0
78	right-lateraloccipital_3				20	30	128	0
79	right-lateraloccipital_4				20	30	129	0
80	right-lateraloccipital_5				20	30	130	0
81	right-lingual_1							225	140	140	0
82	right-lingual_2							227	140	140	0
83	right-lingual_3							228	140	140	0
84	right-fusiform_1						180	220	140	0
85	right-fusiform_2						180	194	140	0
86	right-fusiform_3						180	195	140	0
87	right-fusiform_4						180	196	140	0
88	right-parahippocampal_1					20	220	60	0
89	right-entorhinal_1						220	20	10	0
90	right-temporalpole_1					70	70	70	0
91	right-inferiortemporal_1				180	40	120	0
92	right-inferiortemporal_2				162	40	120	0
93	right-inferiortemporal_3				163	40	120	0
94	right-inferiortemporal_4				164	40	120	0
95	right-middletemporal_1					160	100	50	0
96	right-middletemporal_2					152	100	50	0
97	right-middletemporal_3					153	100	50	0
98	right-middletemporal_4					154	100	50	0
99	right-bankssts_1						25	100	40	0
100	right-superiortemporal_1				140	220	220	0
101	right-superiortemporal_2				140	220	202	0
102	right-superiortemporal_3				140	220	203	0
103	right-superiortemporal_4				140	220	204	0
104	right-superiortemporal_5				140	220	205	0
105	right-transversetemporal_1				150	150	200	0
106	right-insula_1							255	192	32	0
107	right-insula_2							227	192	32	0
108	right-insula_3							228	192	32	0
109	right-thalamus_PU						0	102	0	0
110	right-thalamus_A						0	153	0	0
111	right-thalamus_MD						0	204	0	0
112	right-thalamus_VLD						0	255	0	0
